Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2022,4,Emilia Romagna Grand Prix,STR,Aston Martin,15.0,15.0,0.0,Finished,21.0,1,15.0,81.70752941176471,,0.0,31,4,10,12.666666666666666,12.333333333333334,15.6,266.0
2022,4,Emilia Romagna Grand Prix,OCO,Alpine,16.0,19.0,0.0,Finished,21.0,1,16.0,81.6950588235294,,0.0,23,3,10,10.666666666666666,10.0,10.8,170.0
2022,4,Emilia Romagna Grand Prix,GAS,AlphaTauri,17.0,17.0,0.0,Finished,21.0,1,17.0,81.63570588235294,,0.0,9,2,10,13.333333333333334,11.666666666666666,13.6,142.0
2022,4,Emilia Romagna Grand Prix,ALB,Williams,18.0,20.0,0.0,Finished,21.0,1,18.0,81.96770588235294,,0.0,0,15,10,10.480167014613778,16.0,13.2,124.0
2022,4,Emilia Romagna Grand Prix,LAT,Williams,19.0,18.0,0.0,Finished,21.0,1,19.0,82.1675294117647,,0.0,15,15,10,15.666666666666666,17.0,15.8,124.0
2022,4,Emilia Romagna Grand Prix,ZHO,Alfa Romeo,20.0,0.0,0.0,Retired,0.0,0,20.0,81.26988235294118,,0.0,35,0,10,10.480167014613778,7.0,12.8,53.0
2022,11,Austrian Grand Prix,VER,Red Bull Racing,1.0,1.0,8.0,Finished,23.0,1,1.0,69.00768181818184,64.984,-0.0096712980805383,33,14,2,1.6666666666666667,2.6666666666666665,2.4,790.0
2022,11,Austrian Grand Prix,LEC,Ferrari,2.0,2.0,7.0,Finished,23.0,1,2.0,69.0373181818182,65.013,-0.0096920609047976,17,7,2,5.0,4.333333333333333,7.6,595.0
2022,11,Austrian Grand Prix,SAI,Ferrari,3.0,3.0,6.0,Finished,23.0,1,3.0,69.18845454545455,65.066,-0.0083542072361421,29,7,2,4.666666666666667,2.6666666666666665,9.8,595.0
2022,11,Austrian Grand Prix,RUS,Mercedes,4.0,4.0,5.0,Finished,23.0,1,4.0,69.51477272727271,65.431,-0.0092779593707023,28,11,2,14.333333333333334,10.0,3.6,604.5
2022,11,Austrian Grand Prix,PER,Red Bull Racing,5.0,13.0,4.0,Finished,23.0,1,5.0,69.64090909090908,,0.0,24,14,2,5.333333333333333,1.6666666666666667,14.8,790.0
2022,11,Austrian Grand Prix,OCO,Alpine,6.0,5.0,3.0,Finished,23.0,1,6.0,70.28577272727273,65.726,-0.0028278062672183,23,3,2,12.666666666666666,12.333333333333334,10.8,170.0
2022,11,Austrian Grand Prix,MAG,Haas F1 Team,7.0,6.0,2.0,Finished,23.0,1,7.0,70.42445454545454,65.879,-0.0031881180973992,19,8,2,8.0,12.666666666666666,11.0,73.0
2022,11,Austrian Grand Prix,HAM,Mercedes,8.0,9.0,1.0,Finished,23.0,1,8.0,70.35131818181817,73.151,-0.1148668793355847,12,11,2,8.0,9.666666666666666,10.0,604.5
2022,11,Austrian Grand Prix,MSC,Haas F1 Team,9.0,7.0,0.0,Finished,23.0,1,9.0,70.52090909090909,66.011,-0.0038280167680035,21,8,2,16.0,8.333333333333334,15.4,73.0
2022,11,Austrian Grand Prix,BOT,Alfa Romeo,10.0,12.0,0.0,Finished,23.0,1,10.0,70.48509090909091,,0.0,5,0,2,3.0,13.5,15.8,53.0
2022,11,Austrian Grand Prix,NOR,McLaren,11.0,15.0,0.0,Finished,23.0,1,11.0,70.47586363636363,,0.0,22,10,2,5.0,7.333333333333333,6.4,775.0
